Table,position,bucket,Time,Species ,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,,,,,,,,,,,,,
1,13,13,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Amphipods,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Ostracod,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Copepod,3,3,3,4,3,3,3,6,5,6,6,3,5,4,4,4,5,4,4,5,3,3,6,5,3,,,,,,,,
1,14,14,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Isopods,5,6,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Amphipods,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Larvae,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Copepod,7,6,5,4,4,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Gastropod,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Isopods,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Copepod,3,5,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Amphipods,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Copepod,4,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Amphipods,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Ostracod,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Copepod,3,5,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Gastropod,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Brittle stars,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Amphipods,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Copepod,3,4,4,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Isopods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Ostracod,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Copepod,5,3,3,4,4,4,3,5,5,3,3,4,6,4,4,,,,,,,,,,,,,,,,,,
1,20,20,1,Gastropod,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Amphipods,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Ostracod,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Copepod,7,5,3,5,3,4,4,5,4,4,4,5,3,3,,,,,,,,,,,,,,,,,,,
1,21,21,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Isopods,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Amphipods,8,9,8,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Copepod,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Gastropod,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Amphipods,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Copepod,5,3,4,4,5,3,4,5,4,5,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,
1,23,23,1,Gastropod,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Isopods,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Amphipods,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Larvae,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Ostracod,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Copepod,5,4,4,6,3,6,5,4,7,5,4,7,5,4,4,6,4,3,3,5,4,4,6,5,5,,,,,,,,
1,24,24,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Foraminifera,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Amphipods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Copepod,3,3,4,3,3,4,3,5,4,4,3,3,6,4,4,4,4,3,3,4,7,4,4,,,,,,,,,,
2,1,25,1,Gastropod,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Amphipods,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Ostracod,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Copepod,3,4,4,5,6,4,4,4,4,3,4,4,3,4,4,3,4,5,6,4,5,,,,,,,,,,,,
2,2,26,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Amphipods,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Copepod,4,4,5,4,3,6,3,4,5,4,4,5,4,4,6,4,5,4,4,4,3,,,,,,,,,,,,
2,3,27,1,Gastropod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Isopods,5,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Amphipods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Copepod,4,3,7,4,4,4,4,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Isopods,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Brittle stars,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,1,Copepod,3,4,4,6,4,3,5,5,3,6,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
